final_stage_simple,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,VERZENIO,186,15,2818806.751553148,5211.093633870899,15154.875008350258,15254.7246108321,187920.4501035432,12.4,26699115.25666719,0.10557678501534794,1.0
I,JAKAFI,81,1,1144296.7993794866,2430.097411426207,14127.120979993662,14464.92,1144296.7993794866,81.0,26699115.25666719,0.042858978223772326,2.0
I,ELIQUIS,1609,108,1143075.697838853,66846.34453695893,710.426163976913,545.600100772339,10584.03423924864,14.898148148148149,26699115.25666719,0.04281324256815623,3.0
I,OZEMPIC,887,70,1037440.3095421251,33951.328996756216,1169.6057604759021,911.336878893972,14820.575850601786,12.67142857142857,26699115.25666719,0.03885672987920676,4.0
I,KISQALI,61,11,941359.5141297457,1709.149584445597,15432.123182454847,16752.9760769333,85578.13764815869,5.545454545454546,26699115.25666719,0.035258078969289945,5.0
I,PROMACTA,88,2,850015.0255259566,2740.0192981141895,9659.261653704052,7397.0,425007.5127629783,44.0,26699115.25666719,0.03183682370574787,6.0
I,ENBREL,86,2,650765.3384522322,2950.1688655182147,7567.038819212002,7030.33716990576,325382.6692261161,43.0,26699115.25666719,0.024374041319205356,7.0
I,RINVOQ,98,4,593637.8902826217,2941.725155775763,6057.529492679813,6139.25121994405,148409.47257065543,24.5,26699115.25666719,0.02223436561757907,8.0
I,TRULICITY,416,33,496665.2170038135,16857.110110295147,1193.9067716437823,891.661259426946,15050.46112132768,12.606060606060606,26699115.25666719,0.018602309935337215,9.0
I,JARDIANCE,519,50,481461.62139053486,26962.684363901637,927.6717175154814,591.24,9629.232427810697,10.38,26699115.25666719,0.018032868009373693,10.0
II,VERZENIO,193,14,2795136.993458738,5365.534932198896,14482.57509564113,14697.07,199652.64238990986,13.785714285714286,9518594.730643975,0.29365017342950106,1.0
II,LYNPARZA,44,5,576300.8602984088,1321.1905190871335,13097.746824963835,14511.05,115260.17205968176,8.8,9518594.730643975,0.060544741803438405,2.0
II,NERLYNX,27,2,439879.4682463086,748.3300556337722,16291.83215727069,13601.83,219939.7341231543,13.5,9518594.730643975,0.04621264805299142,3.0
II,AUBAGIO,49,1,298655.51,1376.0,6095.010408163265,6072.2,298655.51,49.0,9518594.730643975,0.0313760085864896,4.0
II,OZEMPIC,248,23,294811.7103622122,9731.43433744198,1188.7568966218234,923.2,12817.900450530966,10.782608695652174,9518594.730643975,0.030972188511514336,5.0
II,ELIQUIS,348,31,236589.09937231633,13890.32115196433,679.8537338284951,551.0559617592751,7631.906431365042,11.225806451612904,9518594.730643975,0.02485546512560789,6.0
II,CAMZYOS,19,1,160801.57420608975,570.3123064241408,8463.240747688935,8484.13551989803,160801.57420608975,19.0,9518594.730643975,0.016893415336657665,7.0
II,ENBREL SURECLICK,23,3,157467.10298999096,644.3905472475224,6846.39578217352,6767.37,52489.03432999699,7.666666666666667,9518594.730643975,0.016543104044869618,8.0
II,IBRANCE,11,3,146557.8922969522,308.0684669302787,13323.444754268381,12478.38,48852.630765650734,3.6666666666666665,9518594.730643975,0.0153970093742017,9.0
II,ORENCIA,33,1,146372.58,924.0,4435.532727272727,4372.4,146372.58,33.0,9518594.730643975,0.015377540923007365,10.0
III,IBRANCE,158,8,2011398.0925470677,4158.820706364288,12730.36767434853,13398.08,251424.76156838346,19.75,5404488.376984444,0.3721717861607045,1.0
III,VERZENIO,91,10,1331015.4865989103,2521.902521425765,14626.543808779234,14711.4802789028,133101.54865989104,9.1,5404488.376984444,0.2462796464263247,2.0
III,KISQALI,16,3,242414.6709557635,448.5794193676283,15150.916934735218,14916.2360898962,80804.89031858783,5.333333333333333,5404488.376984444,0.04485432367439454,3.0
III,OZEMPIC,129,9,167386.2279230122,5382.086106399283,1297.567658317924,923.2,18598.46976922358,14.333333333333334,5404488.376984444,0.030971706523755926,4.0
III,TRUQAP,6,1,131888.96060992932,168.2431907722572,21981.49343498822,21873.4012061123,131888.96060992932,6.0,5404488.376984444,0.024403597789495055,5.0
III,ELIQUIS,137,15,96886.88505335644,5498.007842874272,707.2035405354485,521.9,6459.125670223762,9.133333333333333,5404488.376984444,0.017927115074566347,6.0
III,PERCOCET,35,1,86013.31126122673,1050.0000102180013,2457.5231788921924,2566.68,86013.31126122673,35.0,5404488.376984444,0.015915162594765313,7.0
III,ENTRESTO,74,3,65349.616640926586,3165.290785490507,883.102927580089,628.3299999999999,21783.20554697553,24.666666666666668,5404488.376984444,0.01209173044375939,8.0
III,RINVOQ,4,1,58949.76,360.0,14737.44,14469.75,58949.76,4.0,5404488.376984444,0.010907556069700041,9.0
III,JARDIANCE,77,6,51351.431940283626,2882.3687368325627,666.9017135101769,568.390802908848,8558.57199004727,12.833333333333334,5404488.376984444,0.009501626862399935,10.0
IV,IBRANCE,721,30,8917063.19759161,20200.114038475145,12367.632728975881,12250.18,297235.43991972035,24.033333333333335,15507333.062815566,0.5750223562924235,1.0
IV,VERZENIO,174,12,2325394.69129993,4872.95159459131,13364.337306321439,13473.93,193782.89094166085,14.5,15507333.062815566,0.1499545203472739,2.0
IV,NERLYNX,77,3,1468191.9962869433,2790.366775539764,19067.428523207058,14939.53,489397.33209564775,25.666666666666668,15507333.062815566,0.09467727238073348,3.0
IV,KISQALI,42,4,656582.2353860721,1176.4798512246712,15632.910366335049,15021.83536683475,164145.55884651802,10.5,15507333.062815566,0.04234011307595277,4.0
IV,LYNPARZA,18,3,266077.5258010968,540.0921596035315,14782.084766727601,14799.369999999999,88692.5086003656,6.0,15507333.062815566,0.017158174440653103,5.0
IV,ORSERDU,10,2,233557.0749327933,300.0389284859879,23355.70749327933,23290.0567903601,116778.53746639665,5.0,15507333.062815566,0.015061072976682934,6.0
IV,EVEROLIMUS,15,2,150718.69323697375,420.0025410100212,10047.912882464916,10178.2,75359.34661848687,7.5,15507333.062815566,0.00971918850433259,7.0
IV,ELIQUIS,162,11,95616.14809940573,5706.279428749206,590.2231364160848,513.94,8692.377099945976,14.727272727272727,15507333.062815566,0.006165866671728358,8.0
IV,ENOXAPARIN SODIUM,33,4,81685.43726423076,903.0698476429343,2475.3162807342655,1047.67,20421.35931605769,8.25,15507333.062815566,0.005267536134894859,9.0
IV,XARELTO,130,7,74588.86087749124,4693.373352603487,573.7604682883941,477.78,10655.55155392732,18.571428571428573,15507333.062815566,0.0048099090008162,10.0
