final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,ESBRIET,33,1,275767.2,990.0,8356.581818181818,8157.24,275767.2,33.0,5136281.129260618,0.05369005182153989,1.0
I,pre_stage,RINVOQ,43,4,250366.41294430965,1290.6682746228505,5822.474719635108,5884.95877225554,62591.60323607741,10.75,5136281.129260618,0.04874468640706016,2.0
I,pre_stage,JAKAFI,17,1,219850.88,510.0,12932.404705882353,12854.12,219850.88,17.0,5136281.129260618,0.04280351376164804,3.0
I,pre_stage,OZEMPIC,129,21,160823.99136600472,5621.240087542158,1246.6976074884087,892.380505425516,7658.285303143081,6.142857142857143,5136281.129260618,0.03131136854052141,4.0
I,pre_stage,IMBRUVICA,13,1,148654.52,376.0,11434.963076923075,11391.49,148654.52,13.0,5136281.129260618,0.028942052870341857,5.0
I,pre_stage,TRULICITY,120,16,140077.77901623055,5049.109316919144,1167.3148251352545,824.86,8754.86118851441,7.5,5136281.129260618,0.027272218068093778,6.0
I,pre_stage,PROMACTA,14,1,139113.80000000002,420.0,9936.7,10277.8,139113.80000000002,14.0,5136281.129260618,0.02708453772272894,7.0
I,pre_stage,ELIQUIS,173,24,122595.95626336048,7540.505464952354,708.6471460309855,537.320099243022,5108.164844306687,7.208333333333333,5136281.129260618,0.02386862268207046,8.0
I,pre_stage,VICTOZA 3-PAK,83,10,118591.87,4477.0,1428.8177108433733,947.57,11859.187,8.3,5136281.129260618,0.023089053541948866,9.0
I,pre_stage,REVLIMID,11,1,106316.96,266.0,9665.178181818183,8677.53,106316.96,11.0,5136281.129260618,0.02069920966637288,10.0
I,0_to_90,PROMACTA,5,2,45640.61,150.0,9128.122,10673.09,22820.305,2.5,769762.1674230745,0.05929183315515575,1.0
I,0_to_90,RINVOQ,7,3,42463.56177184346,210.0569239994864,6066.223110263351,6139.31879615407,14154.520590614486,2.3333333333333335,769762.1674230745,0.055164521678167586,2.0
I,0_to_90,JAKAFI,3,1,39718.26,90.0,13239.42,13239.42,39718.26,3.0,769762.1674230745,0.051598093126561995,3.0
I,0_to_90,KISQALI,2,1,34489.4724201344,56.0410726873162,17244.7362100672,17244.7362100672,34489.4724201344,2.0,769762.1674230745,0.0448053618114209,4.0
I,0_to_90,ELIQUIS,45,28,32009.47855113667,1950.2363178691542,711.3217455808149,547.682146550979,1143.1956625405953,1.6071428571428572,769762.1674230745,0.04158359543480099,5.0
I,0_to_90,VERZENIO,2,2,28337.3812912773,56.003946103254904,14168.69064563865,14168.69064563865,14168.69064563865,1.0,769762.1674230745,0.03681316449487519,6.0
I,0_to_90,TRULICITY,12,7,19003.429307056358,672.0107193314057,1583.6191089213632,1417.01,2714.7756152937654,1.7142857142857142,769762.1674230745,0.024687403605030314,7.0
I,0_to_90,OTEZLA,4,2,14455.279999999999,118.0,3613.8199999999997,3744.66,7227.639999999999,2.0,769762.1674230745,0.01877889121050441,8.0
I,0_to_90,ANASTROZOLE,811,459,13929.871794846356,35547.69810507046,17.17616744124088,12.14,30.348304563935418,1.766884531590414,769762.1674230745,0.018096332067707686,9.0
I,0_to_90,XARELTO,21,12,13281.37414587972,871.0015212227066,632.4463878990342,506.34,1106.78117882331,1.75,769762.1674230745,0.017253867113710783,10.0
I,post_90,VERZENIO,182,15,2763192.890261871,5099.089687767643,15182.378517922367,15255.06815424595,184212.85935079138,12.133333333333333,20793071.959983498,0.13289007490474072,1.0
