final_stage_simple,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,J9355,1094,63,8233876.360168046,875.1273669806186,7526.395210391267,6959.9,130696.45016139756,17.365079365079364,135621747.6602091,0.06071206500595652,1.0
I,J9354,327,19,5017678.933980935,228.178393827744,15344.583895966163,11647.9484528179,264088.364946365,17.210526315789473,135621747.6602091,0.036997598250631474,2.0
I,J2505,678,159,4954461.1,579.0,7307.464749262536,8020.84,31160.132704402513,4.264150943396227,135621747.6602091,0.03653146479437103,3.0
I,J9306,386,39,4954203.527588702,338.82837656217055,12834.724164737569,12266.69,127030.85968176159,9.897435897435898,135621747.6602091,0.036529565597407845,4.0
I,38525,1944,1018,4819464.164705734,1316.813993630379,2479.14823287332,242.1,4734.247705997774,1.9096267190569745,135621747.6602091,0.035536071816303146,5.0
I,J1950,662,56,3028947.381074158,634.1013844796963,4575.449216124106,3476.044645470505,54088.346090609964,11.821428571428571,135621747.6602091,0.022333788152199427,6.0
I,99214,27171,1394,2978694.060961796,27120.394546227177,109.62769353214074,108.0,2136.796313458964,19.49139167862267,135621747.6602091,0.021963247873967147,7.0
I,19357,226,105,2430139.4161037197,194.51050497565558,10752.82927479522,2454.75,23144.184915273523,2.1523809523809523,135621747.6602091,0.017918508336821216,8.0
I,77334,2570,820,2312392.6271735514,2324.5131996306263,899.7636681609149,334.70595281414353,2819.9910087482335,3.1341463414634148,135621747.6602091,0.017050308428166634,9.0
I,77412,6408,351,2167909.818747064,5497.222152601707,338.31301790684523,368.7,6176.381249991636,18.256410256410255,135621747.6602091,0.015984971851112053,10.0
II,J9306,405,45,5619239.3793322565,308.4589145946874,13874.66513415372,12266.69,124871.98620738348,9.0,55860477.11849993,0.10059418875731857,1.0
II,J9271,186,28,4040565.357774667,174.12311087359424,21723.4696654552,23711.60093839345,144305.90563480955,6.642857142857143,55860477.11849993,0.07233316946439952,2.0
II,J9355,416,33,3775239.9485222395,221.00128033930542,9075.096030101537,9146.47,114401.21056127998,12.606060606060606,55860477.11849993,0.0675833817264685,3.0
II,J2505,473,118,3403611.56,366.0,7195.796109936575,8020.84,28844.165762711866,4.008474576271187,55860477.11849993,0.06093058519317209,4.0
II,J9354,218,8,2641810.8468537633,111.339784863898,12118.398380063134,11475.83452104235,330226.3558567204,27.25,55860477.11849993,0.04729302331681742,5.0
II,J1950,402,25,1797856.5665050421,392.34161197306855,4472.280016181697,3397.04,71914.26266020168,16.08,55860477.11849993,0.032184769254497224,6.0
II,96413,2830,217,1378546.9435129068,1300.7028251662327,487.11906131198117,543.76,6352.750891764547,13.04147465437788,55860477.11849993,0.024678395434906842,7.0
II,36561,400,194,966506.2274426997,395.8061757908943,2416.265568606749,704.79,4981.990863106699,2.0618556701030926,55860477.11849993,0.017302147731255435,8.0
II,99214,7971,365,850520.0692500902,7957.236729203133,106.7018026910162,107.0,2330.1919705481923,21.838356164383562,55860477.11849993,0.015225793138963615,9.0
II,19357,66,36,830585.2378695384,53.01910877540549,12584.624816205127,2822.3900000000003,23071.812163042734,1.8333333333333333,55860477.11849993,0.014868924877021223,10.0
III,J9271,214,24,5426265.51314241,198.0120457467259,25356.380902534624,25191.8291259439,226094.39638093373,8.916666666666666,30985051.33742215,0.17512527102347722,1.0
III,J9306,210,19,2411670.250753729,144.3879187271369,11484.144051208234,10753.7,126930.0131975647,11.052631578947368,30985051.33742215,0.07783334694175698,2.0
III,J9355,216,12,1572895.8724238798,122.2737783326538,7281.925335295739,8411.575,131074.6560353233,18.0,30985051.33742215,0.0507630552325152,3.0
III,J1823,6,1,1373191.027895139,3.03566095222922,228865.1713158565,182870.3421677845,1373191.027895139,6.0,30985051.33742215,0.04431785550203913,4.0
III,J2505,170,42,1087942.37,145.0,6399.661000000001,6468.299999999999,25903.389761904764,4.0476190476190474,30985051.33742215,0.03511184661766364,5.0
III,J9354,89,4,795629.6810271151,47.19358651599825,8939.659337383315,6316.61,198907.42025677877,22.25,30985051.33742215,0.02567785582676103,6.0
III,96413,1572,99,734810.5747007204,747.4326318915602,467.4367523541478,336.097720587407,7422.329037381014,15.878787878787879,30985051.33742215,0.023715002653981535,7.0
III,J9264,67,6,554244.9644660047,51.06759300144786,8272.312902477683,6974.56373862923,92374.16074433412,11.166666666666666,30985051.33742215,0.017887495438699375,8.0
III,J0897,171,13,516392.90192884393,167.34843809984534,3019.841531747625,2504.29,39722.53091760338,13.153846153846153,30985051.33742215,0.016665872078293804,9.0
III,J2506,177,41,493964.7810850993,159.11024832340772,2790.7614750570583,1620.11534000278,12047.921489880471,4.317073170731708,30985051.33742215,0.015942035264228015,10.0
IV,J9355,788,20,7050531.081781443,295.2719440369869,8947.374469265791,9058.62,352526.55408907216,39.4,36214801.490420885,0.19468644840277163,1.0
IV,J9306,617,19,7005862.500268219,509.15863983347157,11354.720421828555,10298.05,368729.6052772747,32.473684210526315,36214801.490420885,0.19345301401476211,2.0
IV,J0897,627,48,2512468.691201861,614.899021038177,4007.12709920552,4017.49985319901,52343.0977333721,13.0625,36214801.490420885,0.06937684559354633,3.0
IV,J9354,183,6,2173528.2291862383,112.30899277356139,11877.203438176166,9545.58,362254.704864373,30.5,36214801.490420885,0.060017676191353814,4.0
IV,J9395,745,30,1542720.7528099623,675.2967595452039,2070.7661111543116,1577.65,51424.02509366541,24.833333333333332,36214801.490420885,0.04259917738933416,5.0
IV,J9358,63,5,1406322.895720576,63.50471143420487,22322.585646358348,24351.0437102919,281264.5791441152,12.6,36214801.490420885,0.038832820776128235,6.0
IV,J9264,257,12,1270600.52800631,220.05568433560126,4943.970926094592,5725.75454810547,105883.37733385917,21.416666666666668,36214801.490420885,0.0350851164638413,7.0
IV,96413,1680,49,766846.1797957758,264.39441428593943,456.4560594022475,523.59,15649.922036648486,34.285714285714285,36214801.490420885,0.02117493809813131,8.0
IV,J9317,46,4,701574.6769502336,33.76448520283662,15251.6234119616,12328.2558950307,175393.6692375584,11.5,36214801.490420885,0.01937259485284783,9.0
IV,J9022,55,2,691430.85,49.0,12571.47,16571.27,345715.425,27.5,36214801.490420885,0.019092493166996627,10.0
