final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,38525,1078,579,2653674.84634642,730.9035258164147,2461.664978057903,242.1,4583.203534277063,1.8618307426597582,33666496.26072553,0.07882242410363709,1.0
I,pre_stage,19083,1761,916,1695344.495535129,1619.9080864488697,962.7169196678756,417.55,1850.8127680514508,1.9224890829694323,33666496.26072553,0.05035702207933275,2.0
I,pre_stage,J9355,238,23,1554844.28,179.0,6532.959159663866,6502.3150000000005,67601.92521739131,10.347826086956522,33666496.26072553,0.04618372722717337,3.0
I,pre_stage,J2505,184,48,1448005.66,148.0,7869.595978260869,8470.93,30166.78458333333,3.8333333333333335,33666496.26072553,0.04301028680817036,4.0
I,pre_stage,19357,108,55,1246268.7049366797,86.436193909076,11539.525045709997,2454.75,22659.430998848722,1.9636363636363636,33666496.26072553,0.03701806969412926,5.0
I,pre_stage,J9306,73,16,993125.7102929656,54.07691555419695,13604.461784835146,13167.2435285567,62070.35689331035,4.5625,33666496.26072553,0.029498932784743647,6.0
I,pre_stage,19301,981,490,858574.4820103757,755.6154133988389,875.2033455763259,657.39,1752.192820429338,2.0020408163265304,33666496.26072553,0.025502341418639596,7.0
I,pre_stage,81519,190,184,743647.1352610647,191.88917538978745,3913.9322908477093,3864.0,4041.560517723178,1.0326086956521738,33666496.26072553,0.022088640573167825,8.0
I,pre_stage,19303,306,151,709880.9484309652,251.93465797470287,2319.87238049335,1052.18,4701.198333979902,2.0264900662251657,33666496.26072553,0.021085679452158914,9.0
I,pre_stage,99214,5664,1043,618782.2598748181,5637.6897282064365,109.24828034513033,107.03,593.271581855051,5.4304889741131355,33666496.26072553,0.018379764115717432,10.0
I,0_to_90,J2505,293,110,2082374.91,252.0,7107.081604095563,8020.84,18930.681,2.6636363636363636,27764538.48314661,0.0750012434481497,1.0
I,0_to_90,38525,755,393,1983206.1548312828,520.6520180036031,2626.7631189818317,242.1,5046.326093718277,1.921119592875318,27764538.48314661,0.07142946590072481,2.0
I,0_to_90,77334,1582,531,1410350.9914992994,1429.6150897613545,891.4987304041083,335.949662367676,2656.0282325787184,2.9792843691148776,27764538.48314661,0.05079684621285523,3.0
I,0_to_90,J9355,191,49,1361424.0670493792,150.00117699238248,7127.874696593609,6198.17,27784.1646336608,3.8979591836734695,27764538.48314661,0.04903463703802528,4.0
I,0_to_90,J9306,88,26,1197263.5320257416,77.08749492484837,13605.267409383428,12291.17,46048.59738560545,3.3846153846153846,27764538.48314661,0.04312203974694174,5.0
I,0_to_90,77412,3596,225,1162245.0258117116,3031.3977920681505,323.20495712227796,368.61,5165.533448052051,15.982222222222223,27764538.48314661,0.04186077238478887,6.0
