final_stage_simple,PROC_DESC,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,TRASTUZUMAB INJECTION,1094,63,8233876.360168046,875.1273669806186,7526.395210391267,6959.9,130696.45016139756,17.365079365079364,125967244.08452325,0.06536521791842304,1.0
I,OFFICE/OUTPATIENT VISIT EST,57329,1406,5468673.060841475,57157.29886743268,95.39104224461397,91.97,3889.525647824662,40.774537695590325,125967244.08452325,0.04341345324005048,2.0
I,"INJ, ADO-TRASTUZUMAB EMT 1MG",327,19,5017678.933980935,228.178393827744,15344.583895966163,11647.9484528179,264088.364946365,17.210526315789473,125967244.08452325,0.03983320402416761,3.0
I,"INJECTION, PEGFILGRASTIM 6MG",678,159,4954461.1,579.0,7307.464749262536,8020.84,31160.132704402513,4.264150943396227,125967244.08452325,0.03933134471589762,4.0
I,"INJECTION, PERTUZUMAB, 1 MG",386,39,4954203.527588702,338.82837656217055,12834.724164737569,12266.69,127030.85968176159,9.897435897435898,125967244.08452325,0.03932929995884058,5.0
I,BIOPSY/REMOVAL LYMPH NODES,2006,1031,4911015.165418368,1349.825216660874,2448.1630934288974,242.1,4763.3512758665065,1.9456838021338507,125967244.08452325,0.03898644604880858,6.0
I,RADIATION TREATMENT DELIVERY,10544,562,3552771.777143873,9647.456889786525,336.94724745294695,328.28,6321.657966448172,18.76156583629893,125967244.08452325,0.028203933514334766,7.0
I,LEUPROLIDE ACETATE /3.75 MG,662,56,3028947.381074158,634.1013844796963,4575.449216124106,3476.044645470505,54088.346090609964,11.821428571428571,125967244.08452325,0.02404551598383587,8.0
I,BREAST RECONSTRUCTION,320,140,2648577.873179348,285.9985996831478,8276.805853685462,2454.75,18918.413379852485,2.2857142857142856,125967244.08452325,0.0210259253699491,9.0
I,RADIATION TREATMENT AID(S),2677,823,2322585.6608332787,2406.5917453798274,867.6076431950985,312.85,2822.096793236062,3.25273390036452,125967244.08452325,0.018438012816052705,10.0
II,"INJECTION, PERTUZUMAB, 1 MG",405,45,5619239.3793322565,308.4589145946874,13874.66513415372,12266.69,124871.98620738348,9.0,52608565.091037236,0.10681225328249049,1.0
II,INJ PEMBROLIZUMAB,186,28,4040565.357774667,174.12311087359424,21723.4696654552,23711.60093839345,144305.90563480955,6.642857142857143,52608565.091037236,0.07680432550826302,2.0
II,TRASTUZUMAB INJECTION,416,33,3775239.9485222395,221.00128033930542,9075.096030101537,9146.47,114401.21056127998,12.606060606060606,52608565.091037236,0.07176093744410862,3.0
II,"INJECTION, PEGFILGRASTIM 6MG",473,118,3403611.56,366.0,7195.796109936575,8020.84,28844.165762711866,4.008474576271187,52608565.091037236,0.06469690922210428,4.0
II,"INJ, ADO-TRASTUZUMAB EMT 1MG",218,8,2641810.8468537633,111.339784863898,12118.398380063134,11475.83452104235,330226.3558567204,27.25,52608565.091037236,0.05021636386170587,5.0
II,LEUPROLIDE ACETATE /3.75 MG,402,25,1797856.5665050421,392.34161197306855,4472.280016181697,3397.04,71914.26266020168,16.08,52608565.091037236,0.03417421789387176,6.0
II,OFFICE/OUTPATIENT VISIT EST,16402,373,1567203.6775163212,16336.623697543997,95.54954746471901,92.1974291609015,4201.618438381558,43.97319034852547,52608565.091037236,0.02978989590011306,7.0
II,CHEMO IV INFUSION 1 HR,2830,217,1378546.9435129068,1300.7028251662327,487.11906131198117,543.76,6352.750891764547,13.04147465437788,52608565.091037236,0.02620384990785019,8.0
II,RADIATION TREATMENT DELIVERY,3172,149,1100355.6272557396,2928.121538128048,346.89647769726975,366.32,7384.937095676105,21.288590604026847,52608565.091037236,0.020915902673863347,9.0
II,INSERT TUNNELED CV CATH,406,196,984648.3942161468,401.93396880038165,2425.2423502860756,490.4598667891755,5023.7162970211575,2.0714285714285716,52608565.091037236,0.018716503529648605,10.0
III,INJ PEMBROLIZUMAB,214,24,5426265.51314241,198.0120457467259,25356.380902534624,25191.8291259439,226094.39638093373,8.916666666666666,27456745.837283786,0.19762959329921867,1.0
III,"INJECTION, PERTUZUMAB, 1 MG",210,19,2411670.250753729,144.3879187271369,11484.144051208234,10753.7,126930.0131975647,11.052631578947368,27456745.837283786,0.08783525422298583,2.0
III,TRASTUZUMAB INJECTION,216,12,1572895.8724238798,122.2737783326538,7281.925335295739,8411.575,131074.6560353233,18.0,27456745.837283786,0.057286317968826043,3.0
III,"INJECTION, PEGFILGRASTIM 6MG",170,42,1087942.37,145.0,6399.661000000001,6468.299999999999,25903.389761904764,4.0476190476190474,27456745.837283786,0.039623864257164534,4.0
III,"INJ, ADO-TRASTUZUMAB EMT 1MG",89,4,795629.6810271151,47.19358651599825,8939.659337383315,6316.61,198907.42025677877,22.25,27456745.837283786,0.028977566596647505,5.0
III,CHEMO IV INFUSION 1 HR,1572,99,734810.5747007204,747.4326318915602,467.4367523541478,336.097720587407,7422.329037381014,15.878787878787879,27456745.837283786,0.02676247866573153,6.0
III,OFFICE/OUTPATIENT VISIT EST,7165,139,710028.944814058,7160.885163635009,99.09685203266686,94.3609314989457,5108.121905137108,51.54676258992806,27456745.837283786,0.025859908855254896,7.0
III,PACLITAXEL PROTEIN BOUND,67,6,554244.9644660047,51.06759300144786,8272.312902477683,6974.56373862923,92374.16074433412,11.166666666666666,27456745.837283786,0.02018611264971503,8.0
III,DENOSUMAB INJECTION,171,13,516392.90192884393,167.34843809984534,3019.841531747625,2504.29,39722.53091760338,13.153846153846153,27456745.837283786,0.018807505630460727,9.0
III,BREAST RECONSTRUCTION,47,25,498016.222642778,45.44097189504912,10596.089843463362,3314.3956408529,19920.64890571112,1.88,27456745.837283786,0.01813821002656902,10.0
IV,TRASTUZUMAB INJECTION,788,20,7050531.081781443,295.2719440369869,8947.374469265791,9058.62,352526.55408907216,39.4,33521233.749890834,0.21033029793554076,1.0
IV,"INJECTION, PERTUZUMAB, 1 MG",617,19,7005862.500268219,509.15863983347157,11354.720421828555,10298.05,368729.6052772747,32.473684210526315,33521233.749890834,0.20899775206785265,2.0
IV,DENOSUMAB INJECTION,627,48,2512468.691201861,614.899021038177,4007.12709920552,4017.49985319901,52343.0977333721,13.0625,33521233.749890834,0.07495155786770656,3.0
