final_stage_simple,stage_time_window,PROC_DESC,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,BIOPSY/REMOVAL LYMPH NODES,1115,587,2694370.057164494,749.91461187603,2416.4753875914744,242.1,4590.0682404846575,1.899488926746167,32227897.17682532,0.08360365686849659,1.0
I,pre_stage,BX BREAST 1ST LESION US IMAG,1761,916,1695344.495535129,1619.9080864488697,962.7169196678756,417.55,1850.8127680514508,1.9224890829694323,32227897.17682532,0.05260487478389469,2.0
I,pre_stage,TRASTUZUMAB INJECTION,238,23,1554844.28,179.0,6532.959159663866,6502.3150000000005,67601.92521739131,10.347826086956522,32227897.17682532,0.048245291074034746,3.0
I,pre_stage,"INJECTION, PEGFILGRASTIM 6MG",184,48,1448005.66,148.0,7869.595978260869,8470.93,30166.78458333333,3.8333333333333335,32227897.17682532,0.04493019361626991,4.0
I,pre_stage,BREAST RECONSTRUCTION,147,77,1334151.2764834922,125.47786228760472,9075.859023697227,2454.75,17326.63995433107,1.9090909090909092,32227897.17682532,0.04139740390641633,5.0
I,pre_stage,OFFICE/OUTPATIENT VISIT EST,12618,1194,1161244.7033492667,12529.915166595545,92.0308054643578,89.1193907095948,972.5667532238414,10.5678391959799,32227897.17682532,0.03603228274491031,6.0
I,pre_stage,"INJECTION, PERTUZUMAB, 1 MG",73,16,993125.7102929656,54.07691555419695,13604.461784835146,13167.2435285567,62070.35689331035,4.5625,32227897.17682532,0.030815715491580693,7.0
I,pre_stage,PARTIAL MASTECTOMY,981,490,858574.4820103757,755.6154133988389,875.2033455763259,657.39,1752.192820429338,2.0020408163265304,32227897.17682532,0.02664072301396586,8.0
I,pre_stage,ONCOLOGY BREAST MRNA,190,184,743647.1352610647,191.88917538978745,3913.9322908477093,3864.0,4041.560517723178,1.0326086956521738,32227897.17682532,0.023074640308701624,9.0
I,pre_stage,MAST SIMPLE COMPLETE,306,151,709880.9484309652,251.93465797470287,2319.87238049335,1052.18,4701.198333979902,2.0264900662251657,32227897.17682532,0.022026908691437422,10.0
I,0_to_90,"INJECTION, PEGFILGRASTIM 6MG",293,110,2082374.91,252.0,7107.081604095563,8020.84,18930.681,2.6636363636363636,26063452.002468873,0.07989635869426452,1.0
I,0_to_90,BIOPSY/REMOVAL LYMPH NODES,775,399,2021019.1047258426,532.6521549744829,2607.766586743023,242.1,5065.210788786573,1.9423558897243107,26063452.002468873,0.07754226510496003,2.0
I,0_to_90,RADIATION TREATMENT DELIVERY,5647,341,1852306.4490123233,5093.46423867123,328.01601717944453,288.19,5431.983721443763,16.560117302052785,26063452.002468873,0.07106911428451085,3.0
I,0_to_90,RADIATION TREATMENT AID(S),1621,533,1414534.5507086562,1462.6284147328713,872.6308147493253,317.53,2653.9109769393176,3.041275797373358,26063452.002468873,0.054272724525310914,4.0
I,0_to_90,TRASTUZUMAB INJECTION,191,49,1361424.0670493792,150.00117699238248,7127.874696593609,6198.17,27784.1646336608,3.8979591836734695,26063452.002468873,0.05223498663647538,5.0
I,0_to_90,"INJECTION, PERTUZUMAB, 1 MG",88,26,1197263.5320257416,77.08749492484837,13605.267409383428,12291.17,46048.59738560545,3.3846153846153846,26063452.002468873,0.045936491141401005,6.0
I,0_to_90,RADIATION THERAPY PLANNING,605,520,1164584.2537264354,602.5040089493779,1924.9326507874964,191.2,2239.585103320068,1.1634615384615385,26063452.002468873,0.04468265575934145,7.0
I,0_to_90,ONCOLOGY BREAST MRNA,280,275,1091178.443839563,281.89575979807177,3897.0658708555825,3864.0,3967.9216139620476,1.018181818181818,26063452.002468873,0.041866228761109646,8.0
I,0_to_90,EXTERNAL RADIATION DOSIMETRY,79,79,991853.4987640014,79.35429494189032,12555.107579291158,10902.5,12555.107579291158,1.0,26063452.002468873,0.03805533889639974,9.0
I,0_to_90,INSERT TUNNELED CV CATH,361,181,829965.0274894601,353.26370958824873,2299.0720983087535,450.42,4585.442140825746,1.9944751381215469,26063452.002468873,0.0318440177230108,10.0
I,post_90,TRASTUZUMAB INJECTION,665,48,5317608.0131186675,546.1261899882361,7996.403027246117,7525.54,110783.50027330557,13.854166666666666,67675894.90522906,0.07857462425233178,1.0
I,post_90,"INJ, ADO-TRASTUZUMAB EMT 1MG",310,19,4800392.639470491,219.15757790182963,15485.137546679001,11651.592795176199,252652.2441826574,16.31578947368421,67675894.90522906,0.07093208957477092,2.0
I,post_90,OFFICE/OUTPATIENT VISIT EST,41024,1298,3963828.587658803,40954.360755969996,96.62218671165179,92.14,3053.7970629112506,31.605546995377505,67675894.90522906,0.05857075984306685,3.0
I,post_90,"INJECTION, PERTUZUMAB, 1 MG",225,26,2763814.2852699943,207.66396608312522,12283.619045644418,11453.92,106300.54943346132,8.653846153846153,67675894.90522906,0.04083897655347362,4.0
I,post_90,LEUPROLIDE ACETATE /3.75 MG,553,48,2684697.948696078,540.3751252431515,4854.788333989291,3607.05818415299,55931.20726450162,11.520833333333334,67675894.90522906,0.03966992904128766,5.0
I,post_90,EMERGENCY DEPT VISIT,3136,636,1632210.9858535766,2831.1546171609316,520.4754419175946,264.475676461749,2566.3694746125416,4.930817610062893,67675894.90522906,0.024118055448535514,6.0
I,post_90,INJ PEMBROLIZUMAB,70,7,1575348.6245871303,68.87899439057676,22504.980351244718,26235.264256625,225049.8035124472,10.0,67675894.90522906,0.023277839573354633,7.0
I,post_90,HOSPITAL OUTPT CLINIC VISIT,9769,1133,1471318.1870815025,9745.387645237692,150.61093121931646,117.547731449386,1298.6038720931178,8.62224183583407,67675894.90522906,0.021740653583404913,8.0
I,post_90,"INJECTION, PEGFILGRASTIM 6MG",201,76,1424080.53,179.0,7084.97776119403,7897.77,18737.901710526316,2.6447368421052633,67675894.90522906,0.0210426553205426,9.0
I,post_90,DENOSUMAB INJECTION,572,113,1176440.8982738843,554.6039845159679,2056.7148571221755,1621.125999078955,10410.981400653844,5.061946902654867,67675894.90522906,0.01738345536355789,10.0
II,pre_stage,"INJECTION, PEGFILGRASTIM 6MG",184,49,1364371.74,139.0,7415.063804347826,8393.625,27844.321224489795,3.7551020408163267,11874123.873317115,0.11490293975001742,1.0
II,pre_stage,TRASTUZUMAB INJECTION,117,14,972571.61,64.0,8312.577863247863,8653.11,69469.40071428572,8.357142857142858,11874123.873317115,0.08190681016773878,2.0
II,pre_stage,"INJECTION, PERTUZUMAB, 1 MG",65,11,669953.8262362335,41.004349973212086,10306.9819420959,10083.91,60904.893294203044,5.909090909090909,11874123.873317115,0.056421327028743334,3.0
II,pre_stage,BX BREAST 1ST LESION US IMAG,454,232,502056.42314340215,406.5983241985954,1105.8511522982426,390.5,2164.0363066525956,1.956896551724138,11874123.873317115,0.042281555127751023,4.0
II,pre_stage,OFFICE/OUTPATIENT VISIT EST,3599,311,326032.3692060985,3570.223071240408,90.58971081025243,84.93,1048.3355923025674,11.572347266881028,11874123.873317115,0.027457383187549582,5.0
II,pre_stage,INSERT TUNNELED CV CATH,142,74,312825.8481664375,140.19637060498133,2202.9989307495603,590.6298667891755,4227.37632657348,1.9189189189189189,11874123.873317115,0.026345173042147788,6.0
II,pre_stage,CHEMO IV INFUSION 1 HR,662,72,310455.5818326177,350.03957071024104,468.9661356988183,543.76,4311.883081008579,9.194444444444445,11874123.873317115,0.02614555693917398,7.0
II,pre_stage,INJ PEMBROLIZUMAB,13,2,280474.2383024826,12.01919962707799,21574.941407883274,20898.43,140237.1191512413,6.5,11874123.873317115,0.023620625933737226,8.0
