final_stage_simple,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,2244.0,86491,1059,40794889.26804712,24501.27973478443,471.666292077177,0.0,38522.086183236184,81.67233238904628,128767150.42920132,0.316811307325442,1.0
I,2236.0,51019,925,17501678.89208898,15862.168838916023,343.04237425447343,10.12,18920.733937393492,55.155675675675674,128767150.42920132,0.13591726487503303,2.0
I,2223.0,26668,193,9211779.848348701,7263.687829935944,345.42447308942184,0.0,47729.42926605545,138.1761658031088,128767150.42920132,0.07153827523280883,3.0
I,2281.0,29779,396,4598193.4977408135,6624.369931912842,154.41060807081547,4.5,11611.59974176973,75.19949494949495,128767150.42920132,0.035709367508827417,4.0
I,2283.0,15863,257,3662732.6263505314,4014.7490679328957,230.89785200469845,0.0,14251.877923542923,61.72373540856031,128767150.42920132,0.02844461971971938,5.0
I,2015.0,5669,44,3548337.3970630663,1478.8775344239416,625.9194561762332,23.54,80644.03175143333,128.8409090909091,128767150.42920132,0.027556231424209477,6.0
I,2278.0,9959,204,3001453.6745519917,2746.374726411361,301.38102967687433,4.84,14713.008208588195,48.818627450980394,128767150.42920132,0.023309156602034534,7.0
I,2228.0,15988,218,2553926.9964664527,5026.303062180046,159.74024246099904,10.65,11715.261451680975,73.33944954128441,128767150.42920132,0.019833684196270625,8.0
I,8094.0,13633,312,2326922.572847676,2470.150880157569,170.68309050448735,0.0,7458.085169383577,43.69551282051282,128767150.42920132,0.01807077787379525,9.0
I,6062.0,467,452,1820632.048375119,470.830685748137,3898.5696967347303,3864.0,4027.9470096794666,1.0331858407079646,128767150.42920132,0.014138948033769978,10.0
II,2244.0,54650,310,28414402.480918054,12963.821601495067,519.9341716544932,0.0,91659.36284167114,176.29032258064515,55404886.747650266,0.5128501139319288,1.0
II,2236.0,21600,261,7718367.081236775,6261.07961059404,357.33180931651737,7.9824150028400105,29572.28766757385,82.75862068965517,55404886.747650266,0.13930841725913487,2.0
II,2223.0,5778,33,1909500.48536427,1370.0907137275208,330.47775793774144,0.0,57863.65107164454,175.0909090909091,55404886.747650266,0.03446447772849662,3.0
II,2281.0,9851,117,1649206.908737904,2217.001847553096,167.41517701125815,4.02400277597375,14095.785544768409,84.19658119658119,55404886.747650266,0.029766452122706434,4.0
II,2283.0,5705,70,1295421.8455245926,1484.9537324702437,227.06780815505567,3.57,18506.026364637037,81.5,55404886.747650266,0.023381003401825955,5.0
II,2278.0,3279,55,936172.763632685,933.3165187480814,285.50556987883044,4.11,17021.322975139727,59.61818181818182,55404886.747650266,0.0168969348840405,6.0
