final_stage_simple,stage_time_window,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,2244.0,15789,493,6069947.495528328,3502.7859229377314,384.4415412963663,0.0,12312.26672520959,32.026369168357,31136322.534001023,0.19494747617994754,1.0
I,pre_stage,2236.0,13210,562,4199842.741509921,3648.2169834109663,317.92904931944895,3.76,7473.02978916356,23.505338078291814,31136322.534001023,0.13488563837054524,2.0
I,pre_stage,2223.0,8128,157,2637007.670557961,1639.691480756243,324.4349988383318,0.0,16796.22720100612,51.77070063694268,31136322.534001023,0.08469232895690668,3.0
I,pre_stage,2281.0,8978,281,1719966.3042335347,1757.6705691671987,191.57566320266594,0.0,6120.8765275214755,31.95017793594306,31136322.534001023,0.05523986663342541,4.0
I,pre_stage,2254.0,1504,89,997071.10835033,460.1515566876417,662.9462156584641,82.33000000000001,11203.046161239663,16.89887640449438,31136322.534001023,0.03202276400051815,5.0
I,pre_stage,2283.0,4690,153,959903.6034794147,999.2628061674136,204.67027792738054,0.0,6273.879761303364,30.65359477124183,31136322.534001023,0.03082906153837516,6.0
I,pre_stage,2015.0,1236,34,947280.0410720716,298.03359138301334,766.4078002201227,20.57,27861.177678590342,36.35294117647059,31136322.534001023,0.030423632721482668,7.0
I,pre_stage,2278.0,3350,154,814992.0852937675,863.4231919265163,243.28121949067688,1.45,5292.156398011477,21.753246753246753,31136322.534001023,0.026174962839744225,8.0
I,pre_stage,6062.0,182,176,710686.6064112029,183.88865258701796,3904.8714637978183,3864.0,4037.992081881835,1.0340909090909092,31136322.534001023,0.0228250014315316,9.0
I,pre_stage,2228.0,4267,153,614872.3239833643,1125.7534434376591,144.09944316460377,8.29,4018.773359368394,27.88888888888889,31136322.534001023,0.019747750342447173,10.0
I,0_to_90,2244.0,17549,694,7864059.030133307,3886.2500242425263,448.12006553839575,0.0,11331.497161575371,25.286743515850144,25614978.634744853,0.3070101733157912,1.0
I,0_to_90,2236.0,11264,528,5381324.277063553,3837.1614291353962,477.7454081199887,12.011360291038649,10191.902039893093,21.333333333333332,25614978.634744853,0.21008505819185727,2.0
I,0_to_90,2223.0,4804,133,1765055.9059026549,1169.0874584087449,367.4138022278632,0.0,13271.097036862067,36.1203007518797,25614978.634744853,0.0689071785329731,3.0
I,0_to_90,6062.0,275,270,1071075.663839563,276.89575979807177,3894.8205957802293,3864.0,3966.9469031094927,1.0185185185185186,25614978.634744853,0.041814427375189256,4.0
I,0_to_90,2283.0,2380,114,832597.5624219378,593.3704039423666,349.83090858064617,0.0,7303.487389666121,20.87719298245614,25614978.634744853,0.03250432390728524,5.0
I,0_to_90,2281.0,4061,223,809240.756108088,728.7687369255106,199.27130167645603,0.0,3628.8823143860445,18.210762331838566,25614978.634744853,0.03159248218190632,6.0
I,0_to_90,2228.0,2049,88,799192.1243492778,870.6491593115815,390.040080209506,47.88,9081.728685787248,23.28409090909091,25614978.634744853,0.031200187036862562,7.0
I,0_to_90,2015.0,855,23,704036.5175293358,185.04421483748018,823.4345234261237,0.0,30610.283370840687,37.17391304347826,25614978.634744853,0.027485344710550003,8.0
