final_stage_simple,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,ENBREL,16,1,152902.68852688343,644.0039097156681,9556.418032930214,7030.34713131352,152902.68852688343,16.0,646394.9025015612,0.23654686621931417,1.0
I,JAKAFI,9,1,146117.324258887,270.0167238259001,16235.258250987445,16349.4274728611,146117.324258887,9.0,646394.9025015612,0.22604962337018752,2.0
I,VERZENIO,7,3,97362.0129876178,196.0458083658776,13908.858998231113,13638.24,32454.00432920593,2.3333333333333335,646394.9025015612,0.15062311384391316,3.0
I,ANASTROZOLE,2530,248,50617.450223367116,126360.38781239073,20.006897321488978,15.4150346340036,204.10262186841578,10.201612903225806,646394.9025015612,0.07830731651421843,4.0
I,EXEMESTANE,297,50,50145.07075395879,13929.01044137147,168.8386220672013,114.54,1002.9014150791758,5.94,646394.9025015612,0.07757652568096741,5.0
I,LUPRON DEPOT,22,1,33544.866710663286,620.1048791027584,1524.766668666513,1540.31,33544.866710663286,22.0,646394.9025015612,0.05189531442906493,6.0
I,KISQALI,3,1,27030.34272160407,84.0091627383094,9010.114240534689,6757.66245146736,27030.34272160407,3.0,646394.9025015612,0.041817072840451094,7.0
I,TAMOXIFEN CITRATE,814,68,25398.371347947323,32927.187118382564,31.20193040288369,25.98,373.5054609992253,11.970588235294118,646394.9025015612,0.0392923447410478,8.0
I,LETROZOLE,514,64,12082.965073951427,26227.18771100764,23.507714151656472,21.15,188.79632928049105,8.03125,646394.9025015612,0.018692853280850623,9.0
I,CAPECITABINE,7,5,9987.81133940294,133.0035382308461,1426.8301913432772,1561.49,1997.562267880588,1.4,646394.9025015612,0.015451562660457115,10.0
II,IBRANCE,7,1,87348.65999999999,196.0,12478.38,12478.38,87348.65999999999,7.0,246680.16880766756,0.35409680649320574,1.0
II,VERZENIO,4,1,54552.96,112.0,13638.24,13638.24,54552.96,4.0,246680.16880766756,0.22114854332913172,2.0
II,EXEMESTANE,138,12,28846.70682550518,6089.650739464812,209.03410743119696,164.275003649538,2403.8922354587653,11.5,246680.16880766756,0.11693970765844773,3.0
II,NEUPOGEN,5,2,21922.57,72.0,4384.514,5143.84,10961.285,2.5,246680.16880766756,0.08887041915839074,4.0
II,CAPECITABINE,30,3,17594.78,798.0,586.4926666666667,446.89,5864.926666666666,10.0,246680.16880766756,0.07132628490180075,5.0
II,ANASTROZOLE,482,40,9263.77014285493,23674.242567187634,19.21944013040442,12.75,231.59425357137326,12.05,246680.16880766756,0.037553769269866755,6.0
