final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,VERZENIO,2,1,27276.48,56.0,13638.24,13638.24,27276.48,2.0,33629.51309490022,0.8110875683221346,1.0
I,pre_stage,ANASTROZOLE,145,32,2658.706651740709,6601.08242390135,18.33590794303937,12.65,83.08458286689715,4.53125,33629.51309490022,0.07905873166340582,2.0
I,pre_stage,TAMOXIFEN CITRATE,37,8,1145.54,1486.0,30.96054054054054,27.98,143.1925,4.625,33629.51309490022,0.03406353213522192,3.0
I,pre_stage,EXEMESTANE,4,3,570.260274465557,180.0095896756898,142.56506861638925,142.4201372327785,190.08675815518566,1.3333333333333333,33629.51309490022,0.016957137406548854,4.0
I,pre_stage,VANCOMYCIN HCL,1,1,430.07,10.0,430.07,430.07,430.07,1.0,33629.51309490022,0.012788469425244767,5.0
I,pre_stage,DEXAMETHASONE,23,12,262.3458785328279,357.01955253846876,11.406342544905561,8.66,21.862156544402325,1.9166666666666667,33629.51309490022,0.007801060865570831,6.0
I,pre_stage,PROCHLORPERAZINE MALEA,14,11,242.2864653092199,167.03031725794492,17.306176093515706,14.77,22.02604230083817,1.2727272727272727,33629.51309490022,0.007204578449456101,7.0
I,pre_stage,LETROZOLE,10,4,188.79999999999998,360.0,18.88,17.655,47.199999999999996,2.5,33629.51309490022,0.005614116370558774,8.0
I,pre_stage,LIDOCAINE HCL VISCOUS,8,1,146.1,18.0,18.2625,18.275,146.1,8.0,33629.51309490022,0.004344398314293628,9.0
I,pre_stage,LIDOCAINE-PRILOCAINE,5,5,87.8500205957371,116.0373557777754,17.57000411914742,15.41,17.57000411914742,1.0,33629.51309490022,0.002612289400320197,10.0
I,0_to_90,VERZENIO,1,1,13638.24,28.0,13638.24,13638.24,13638.24,1.0,25891.16388111511,0.5267526814407778,1.0
I,0_to_90,ANASTROZOLE,173,99,2820.6575290977266,6840.682804219961,16.304378780911716,12.11,28.49149019290633,1.7474747474747474,25891.16388111511,0.10894286336641285,2.0
I,0_to_90,CAPECITABINE,1,1,2681.35,21.0,2681.35,2681.35,2681.35,1.0,25891.16388111511,0.10356235866073844,3.0
I,0_to_90,EXEMESTANE,6,4,1598.405569724027,300.0460037357882,266.4009282873378,141.645293009229,399.60139243100673,1.5,25891.16388111511,0.06173556264459383,4.0
I,0_to_90,PROCHLORPERAZINE MALEA,58,44,1155.988584428969,557.1224973408029,19.930837662568432,15.4,26.272467827931113,1.3181818181818181,25891.16388111511,0.044647996117012784,5.0
I,0_to_90,DEXAMETHASONE,72,40,1149.8423167618143,604.1027231648352,15.970032177247422,12.0,28.74605791904536,1.8,25891.16388111511,0.044410607496888306,6.0
I,0_to_90,TAMOXIFEN CITRATE,38,21,989.9477677621657,1395.0996924290098,26.05125704637278,21.94,47.14036989343646,1.8095238095238095,25891.16388111511,0.03823496588672975,7.0
I,0_to_90,LINZESS,2,1,942.9,60.0,471.45,471.45,942.9,2.0,25891.16388111511,0.03641782981752113,8.0
I,0_to_90,LETROZOLE,16,8,269.77370367625963,610.3009117675966,16.860856479766227,12.82,33.721712959532454,2.0,25891.16388111511,0.010419527871168096,9.0
I,0_to_90,LIDOCAINE-PRILOCAINE,8,7,183.1528105267392,140.04561640125985,22.8941013158424,20.485,26.1646872181056,1.1428571428571428,25891.16388111511,0.007073950455364812,10.0
I,post_90,ENBREL,16,1,152902.68852688343,644.0039097156681,9556.418032930214,7030.34713131352,152902.68852688343,16.0,586874.2255255459,0.2605374062729694,1.0
