final_stage_simple,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,J9355,1029,63,7889367.440168046,827.1273669806186,7667.023751378082,7012.11,125228.054605842,16.333333333333332,87432545.7528376,0.09023376103528358,1.0
I,J9354,315,19,4944262.429631879,216.17438372434333,15696.071205180568,11677.1169293024,260224.3384016778,16.57894736842105,87432545.7528376,0.05654945063144766,2.0
I,J9306,380,39,4890637.337588701,332.82837656217055,12870.098256812373,12266.69,125400.95737406927,9.743589743589743,87432545.7528376,0.05593611961630406,3.0
I,J2505,656,155,4801936.88,559.0,7320.0257317073165,8020.84,30980.23793548387,4.232258064516129,87432545.7528376,0.05492161801595665,4.0
I,38525,1641,965,4632350.114299274,1033.641811301397,2822.8824584395334,251.15,4800.362812745362,1.700518134715026,87432545.7528376,0.05298198827922076,5.0
I,J1950,661,56,3026315.391074158,633.1013844796963,4578.389396481328,3478.32779951903,54041.34626918139,11.803571428571429,87432545.7528376,0.034613145082487085,6.0
I,77334,2521,814,2274512.2854147935,2280.183307846443,902.2262139685813,335.949662367676,2794.2411368732105,3.097051597051597,87432545.7528376,0.026014480830108676,7.0
I,77412,6308,346,2130662.999221799,5424.963818658661,337.77155980053885,368.7,6157.985546883812,18.23121387283237,87432545.7528376,0.024369220647480105,8.0
I,19357,165,89,2019752.290751575,133.46647567925353,12240.92297425197,2608.67,22693.845963500844,1.853932584269663,87432545.7528376,0.023100691777421162,9.0
I,96413,4013,337,1962942.5643647257,1195.931415936393,489.1459168613819,516.8,5824.755383871589,11.908011869436201,87432545.7528376,0.0224509368618152,10.0
II,J9306,405,45,5619239.3793322565,308.4589145946874,13874.66513415372,12266.69,124871.98620738348,9.0,43214984.17681654,0.13002988399442245,1.0
II,J9271,183,28,3966264.537774667,171.12311087359424,21673.576709151188,23613.3699082912,141652.30492052383,6.535714285714286,43214984.17681654,0.09177984473039427,2.0
II,J9355,414,32,3760919.2485222397,219.00128033930542,9084.346010923284,9146.47,117528.72651631999,12.9375,43214984.17681654,0.08702812971385636,3.0
II,J2505,460,115,3334357.76,353.0,7248.603826086956,8093.51,28994.415304347825,4.0,43214984.17681654,0.07715744488895998,4.0
II,J9354,218,8,2641810.8468537633,111.339784863898,12118.398380063134,11475.83452104235,330226.3558567204,27.25,43214984.17681654,0.0611318249254621,5.0
II,J1950,400,25,1792819.5965050422,390.34161197306855,4482.048991262605,3397.04,71712.78386020169,16.0,43214984.17681654,0.0414860639348986,6.0
II,96413,2800,214,1365873.7070818453,1279.6482830463917,487.81203824351616,543.76,6382.587416270305,13.08411214953271,43214984.17681654,0.03160648402631125,7.0
II,36561,354,194,919471.9124923213,350.77777311896523,2597.3782838766138,1748.73000881759,4739.545940682069,1.824742268041237,43214984.17681654,0.021276692101291773,8.0
II,38525,348,205,722615.0054109974,220.6924440516001,2076.4799006063145,239.99199910726998,3524.9512459073044,1.697560975609756,43214984.17681654,0.01672139928258165,9.0
II,19357,48,30,715392.7920867685,36.01910877540549,14904.016501807679,5771.26,23846.426402892284,1.6,43214984.17681654,0.01655427638616501,10.0
III,J9271,214,24,5426265.51314241,198.0120457467259,25356.380902534624,25191.8291259439,226094.39638093373,8.916666666666666,23966034.272726968,0.2264148273925081,1.0
III,J9306,210,19,2411670.250753729,144.3879187271369,11484.144051208234,10753.7,126930.0131975647,11.052631578947368,23966034.272726968,0.1006286740354944,2.0
III,J9355,216,12,1572895.8724238798,122.2737783326538,7281.925335295739,8411.575,131074.6560353233,18.0,23966034.272726968,0.0656302104271717,3.0
III,J2505,164,41,1054989.8,139.0,6432.864634146342,7475.73,25731.458536585367,4.0,23966034.272726968,0.04402020743167194,4.0
III,J9354,86,4,755972.3510271151,45.19358651599825,8790.376174733898,6267.73,188993.08775677878,21.5,23966034.272726968,0.03154348952456443,5.0
III,96413,1568,99,732303.6647007203,747.4326318915602,467.03039840607164,335.909341772311,7397.006714148691,15.83838383838384,23966034.272726968,0.030555896581274288,6.0
III,J9264,67,6,554244.9644660047,51.06759300144786,8272.312902477683,6974.56373862923,92374.16074433412,11.166666666666666,23966034.272726968,0.02312626937601972,7.0
III,J2506,177,41,493964.7810850993,159.11024832340772,2790.7614750570583,1620.11534000278,12047.921489880471,4.317073170731708,23966034.272726968,0.020611035412196867,8.0
III,36561,160,87,461575.160143992,154.53689469259314,2884.8447508999498,1716.25404975369,5305.461610850482,1.839080459770115,23966034.272726968,0.019259555205979925,9.0
III,J0897,134,11,456283.3200721398,131.1657245493432,3405.099403523431,2744.57,41480.30182473998,12.181818181818182,23966034.272726968,0.019038749376712034,10.0
IV,J9355,781,20,7025872.971781443,291.2719440369869,8995.996122639492,9058.62,351293.64858907217,39.05,32733342.31144143,0.21463964495082002,1.0
IV,J9306,613,19,6966863.070268218,507.15863983347157,11365.192610551743,10298.05,366677.0036983273,32.26315789473684,32733342.31144143,0.21283689896320365,2.0
IV,J0897,609,47,2480026.5886411346,598.8004263562341,4072.293249000221,4071.67249274606,52766.52316257733,12.957446808510639,32733342.31144143,0.07576453895373464,3.0
IV,J9354,182,6,2156397.7091862382,111.30899277356139,11848.339061462848,9448.0,359399.61819770635,30.333333333333332,32733342.31144143,0.06587771235424691,4.0
