final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,38525,933,551,2568229.5194385294,596.8663093163298,2752.657577104533,251.15,4661.033610596242,1.693284936479129,21285542.660834417,0.12065605093376802,1.0
I,pre_stage,J9355,236,23,1538570.56,178.0,6519.366779661017,6463.22,66894.37217391304,10.26086956521739,21285542.660834417,0.0722824211961945,2.0
I,pre_stage,J2505,180,47,1416572.22,146.0,7869.845666666666,8440.98,30139.834468085104,3.8297872340425534,21285542.660834417,0.0665509093459245,3.0
I,pre_stage,19357,87,48,1151649.7225242143,64.42765056540622,13237.353132462233,3537.01,23992.702552587798,1.8125,21285542.660834417,0.054104785622555905,4.0
I,pre_stage,J9306,72,16,983796.9702929656,53.07691555419695,13663.846809624523,13170.0234872826,61487.31064331035,4.5,21285542.660834417,0.04621902227107231,5.0
I,pre_stage,19301,900,472,751075.1506345192,679.6013973033262,834.5279451494657,657.39,1591.2609123612694,1.9067796610169492,21285542.660834417,0.03528569426686518,6.0
I,pre_stage,81519,189,183,739391.1352610647,190.88917538978745,3912.122408788702,3864.0,4040.3887172735776,1.0327868852459017,21285542.660834417,0.034736776367066784,7.0
I,pre_stage,19303,267,141,619449.917450036,211.85664247566407,2320.0371440076256,1052.18,4393.261825886781,1.8936170212765957,21285542.660834417,0.029101908620343953,8.0
I,pre_stage,19083,341,305,501137.4784967236,295.7548267569469,1469.611373890685,1193.01,1643.0736999892576,1.118032786885246,21285542.660834417,0.023543561302706222,9.0
I,pre_stage,19340,43,25,467152.06658804545,28.33572980041008,10864.001548559196,1488.47937931827,18686.082663521818,1.72,21285542.660834417,0.021946918339442165,10.0
I,0_to_90,J2505,283,107,2005955.8699999999,242.0,7088.18328621908,8020.84,18747.251121495327,2.6448598130841123,25282990.297872804,0.07934013525958486,1.0
I,0_to_90,38525,617,371,1903397.4002255301,388.65147650412507,3084.9228528776825,303.83,5130.451213545904,1.6630727762803235,25282990.297872804,0.0752837135876951,2.0
I,0_to_90,77334,1561,529,1395723.9743160026,1412.5943322136618,894.1217003946205,335.949662367676,2638.41961118337,2.950850661625709,25282990.297872804,0.05520407032048865,3.0
I,0_to_90,J9355,179,47,1315302.1370493793,138.00117699238248,7348.056631560778,6223.8,27985.151852114454,3.8085106382978724,25282990.297872804,0.052023203013293995,4.0
I,0_to_90,J9306,88,26,1197263.5320257416,77.08749492484837,13605.267409383428,12291.17,46048.59738560545,3.3846153846153846,25282990.297872804,0.0473545066434042,5.0
I,0_to_90,77412,3540,222,1141283.5515490514,3000.3972268163534,322.3964834884326,365.83,5140.916898869601,15.945945945945946,25282990.297872804,0.045140370585241806,6.0
I,0_to_90,81519,280,275,1091178.443839563,281.89575979807177,3897.0658708555825,3864.0,3967.9216139620476,1.018181818181818,25282990.297872804,0.04315859916029671,7.0
I,0_to_90,77299,85,85,1054348.3630717057,85.34466230258448,12404.09838907889,10902.5,12404.09838907889,1.0,25282990.297872804,0.041701885364422805,8.0
I,0_to_90,77399,77,77,970048.4987640014,77.35429494189032,12598.032451480538,10902.5,12598.032451480538,1.0,25282990.297872804,0.038367633232276994,9.0
I,0_to_90,36561,313,174,770877.038730294,305.1467885756905,2462.865938435444,1700.92967168825,4430.327808794793,1.7988505747126438,25282990.297872804,0.030489947179829915,10.0
I,post_90,J9355,614,48,5035494.743118667,511.12618998823615,8201.131503450597,8318.15,104906.1404816389,12.791666666666666,40864012.79413038,0.12322565501550438,1.0
I,post_90,J9354,298,19,4726976.135121434,207.15356779842895,15862.33602389743,11677.1169293024,248788.2176379702,15.68421052631579,40864012.79413038,0.1156757697521181,2.0
I,post_90,J9306,220,26,2709576.835269994,202.66396608312522,12316.258342136336,11453.92,104214.49366423054,8.461538461538462,40864012.79413038,0.06630716491110712,3.0
I,post_90,J1950,552,48,2682065.958696078,539.3751252431515,4858.815142565359,3607.10990711616,55876.374139501626,11.5,40864012.79413038,0.0656339349786354,4.0
I,post_90,J9271,70,7,1575348.6245871303,68.87899439057676,22504.980351244718,26235.264256625,225049.8035124472,10.0,40864012.79413038,0.03855100164840909,5.0
I,post_90,J2505,193,73,1379408.79,171.0,7147.195803108809,7897.77,18896.010821917807,2.643835616438356,40864012.79413038,0.0337560776752237,6.0
I,post_90,96413,2282,243,1118483.0353568234,621.8819111400455,490.13279375846776,516.8,4602.810845089808,9.390946502057613,40864012.79413038,0.027370856626138293,7.0
I,post_90,G0463,7280,1072,1097216.7986609624,7242.083636195354,150.71659322265967,117.760495288106,1023.5231330792559,6.791044776119403,40864012.79413038,0.026850441834693345,8.0
I,post_90,J9202,673,24,911919.638780427,657.5872407554554,1355.0068926900847,1306.0476221618,37996.65161585113,28.041666666666668,40864012.79413038,0.022315959114798764,9.0
I,post_90,99214,8999,1196,911666.9199789115,8999.559753868252,101.30758083997239,98.0436221483651,762.2633110191568,7.524247491638796,40864012.79413038,0.022309774729462238,10.0
II,pre_stage,J2505,177,47,1330404.52,132.0,7516.409717514124,8440.98,28306.47914893617,3.765957446808511,8838460.04151522,0.15052447075066736,1.0
II,pre_stage,J9355,115,13,958250.91,62.0,8332.616608695653,8945.9,73711.60846153846,8.846153846153847,8838460.04151522,0.10841831105181106,2.0
II,pre_stage,J9306,65,11,669953.8262362335,41.004349973212086,10306.9819420959,10083.91,60904.893294203044,5.909090909090909,8838460.04151522,0.07579983652009362,3.0
II,pre_stage,96413,655,71,308328.30773953703,346.038604612161,470.7302408237207,543.76,4342.65222168362,9.225352112676056,8838460.04151522,0.03488484490412187,4.0
II,pre_stage,36561,123,73,296214.2681664375,121.19637060498134,2408.2460826539636,2142.37,4057.729700910103,1.6849315068493151,8838460.04151522,0.03351423967241878,5.0
