final_stage_simple,I,I,I,II,II,II,III,III,III,IV,IV,IV,n_stage_window_hits
stage_time_window,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,
HCPCS,,,,,,,,,,,,,
J9355,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12.0
J9306,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12.0
J2505,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,10.0
96413,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
J9271,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8.0
36561,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,6.0
J9354,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,6.0
J9264,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,5.0
J0897,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,4.0
78815,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,4.0
J2506,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,3.0
J9395,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3.0
38525,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,3.0
77334,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,3.0
J1950,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,3.0
77412,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,3.0
19083,Yes,No,No,Yes,No,No,No,No,No,No,No,No,2.0
J9358,No,No,No,No,No,No,No,No,Yes,No,No,Yes,2.0
J9317,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2.0
G0463,No,No,Yes,No,No,Yes,No,No,No,No,No,No,2.0
81519,Yes,Yes,No,No,No,No,No,No,No,No,No,No,2.0
19357,Yes,No,No,No,No,Yes,No,No,No,No,No,No,2.0
19303,Yes,No,No,Yes,No,No,No,No,No,No,No,No,2.0
19301,Yes,No,No,No,No,No,No,No,No,No,No,No,1.0
99214,No,No,Yes,No,No,No,No,No,No,No,No,No,1.0
J9022,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0
J9070,No,No,No,No,Yes,No,No,No,No,No,No,No,1.0
J9202,No,No,Yes,No,No,No,No,No,No,No,No,No,1.0
96375,No,No,No,No,No,No,No,Yes,No,No,No,No,1.0
77399,No,Yes,No,No,No,No,No,No,No,No,No,No,1.0
77386,No,No,No,No,No,No,No,No,No,No,Yes,No,1.0
77299,No,Yes,No,No,No,No,No,No,No,No,No,No,1.0
19340,Yes,No,No,No,No,No,No,No,No,No,No,No,1.0
Q5116,No,No,No,No,No,No,No,No,Yes,No,No,No,1.0
