final_stage_simple,PROC_DESC,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,TRASTUZUMAB INJECTION,1029,63,7889367.440168046,827.1273669806186,7667.023751378082,7012.11,125228.054605842,16.333333333333332,80948279.97876503,0.09746182923513194,1.0
I,"INJ, ADO-TRASTUZUMAB EMT 1MG",315,19,4944262.429631879,216.17438372434333,15696.071205180568,11677.1169293024,260224.3384016778,16.57894736842105,80948279.97876503,0.06107927717462181,2.0
I,"INJECTION, PERTUZUMAB, 1 MG",380,39,4890637.337588701,332.82837656217055,12870.098256812373,12266.69,125400.95737406927,9.743589743589743,80948279.97876503,0.060416816007352485,3.0
I,"INJECTION, PEGFILGRASTIM 6MG",656,155,4801936.88,559.0,7320.0257317073165,8020.84,30980.23793548387,4.232258064516129,80948279.97876503,0.059321048961876406,4.0
I,BIOPSY/REMOVAL LYMPH NODES,1691,982,4699551.174299275,1056.641811301397,2779.1550409812385,248.506795203157,4785.693660182561,1.7219959266802445,80948279.97876503,0.0580562202869795,5.0
I,RADIATION TREATMENT DELIVERY,10425,556,3507685.9576186077,9556.198555843477,336.4686769897945,302.96,6308.787693558647,18.75,80948279.97876503,0.043332433481462124,6.0
I,LEUPROLIDE ACETATE /3.75 MG,661,56,3026315.391074158,633.1013844796963,4578.389396481328,3478.32779951903,54041.34626918139,11.803571428571429,80948279.97876503,0.037385789937328426,7.0
I,RADIATION TREATMENT AID(S),2624,817,2284158.656629011,2359.2053549084353,870.4872929226414,313.53114664099746,2795.7878294112743,3.211750305997552,80948279.97876503,0.02821750699617347,8.0
I,OFFICE/OUTPATIENT VISIT EST,23007,1380,2139051.737134653,22945.26109963204,92.97395302015269,92.14,1550.037490677285,16.671739130434784,80948279.97876503,0.026424918944488823,9.0
I,BREAST RECONSTRUCTION,211,113,2127278.856000028,180.49096164049752,10081.890312796342,2454.75,18825.47660177016,1.8672566371681416,80948279.97876503,0.02627948186864591,10.0
II,"INJECTION, PERTUZUMAB, 1 MG",405,45,5619239.3793322565,308.4589145946874,13874.66513415372,12266.69,124871.98620738348,9.0,40705432.904089056,0.13804642226929312,1.0
II,INJ PEMBROLIZUMAB,183,28,3966264.537774667,171.12311087359424,21673.576709151188,23613.3699082912,141652.30492052383,6.535714285714286,40705432.904089056,0.09743821045018874,2.0
II,TRASTUZUMAB INJECTION,414,32,3760919.2485222397,219.00128033930542,9084.346010923284,9146.47,117528.72651631999,12.9375,40705432.904089056,0.09239354504308532,3.0
