final_stage_simple,stage_time_window,PROC_DESC,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,BIOPSY/REMOVAL LYMPH NODES,966,563,2602637.1294385293,610.8663093163298,2694.241334822494,247.492218800758,4622.801295627938,1.7158081705150976,20323364.457917765,0.12806133230684497,1.0
I,pre_stage,TRASTUZUMAB INJECTION,236,23,1538570.56,178.0,6519.366779661017,6463.22,66894.37217391304,10.26086956521739,20323364.457917765,0.07570452043931089,2.0
I,pre_stage,"INJECTION, PEGFILGRASTIM 6MG",180,47,1416572.22,146.0,7869.845666666666,8440.98,30139.834468085104,3.8297872340425534,20323364.457917765,0.06970165904042126,3.0
I,pre_stage,BREAST RECONSTRUCTION,115,65,1214599.5680468192,93.42794081972936,10561.735374320167,2454.75,18686.147200720294,1.7692307692307692,20323364.457917765,0.05976370549088019,4.0
I,pre_stage,"INJECTION, PERTUZUMAB, 1 MG",72,16,983796.9702929656,53.07691555419695,13663.846809624523,13170.0234872826,61487.31064331035,4.5,20323364.457917765,0.048407190272557896,5.0
I,pre_stage,PARTIAL MASTECTOMY,900,472,751075.1506345192,679.6013973033262,834.5279451494657,657.39,1591.2609123612694,1.9067796610169492,20323364.457917765,0.036956240793187586,6.0
I,pre_stage,ONCOLOGY BREAST MRNA,189,183,739391.1352610647,190.88917538978745,3912.122408788702,3864.0,4040.3887172735776,1.0327868852459017,20323364.457917765,0.03638133522587132,7.0
I,pre_stage,MAST SIMPLE COMPLETE,267,141,619449.917450036,211.85664247566407,2320.0371440076256,1052.18,4393.261825886781,1.8936170212765957,20323364.457917765,0.030479693395878898,8.0
I,pre_stage,RADIATION TREATMENT DELIVERY,1664,87,521077.0509069957,1571.0327495584866,313.14726617006954,279.0,5989.391389735583,19.126436781609197,20323364.457917765,0.025639310458952562,9.0
I,pre_stage,BX BREAST 1ST LESION US IMAG,341,305,501137.4784967236,295.7548267569469,1469.611373890685,1193.01,1643.0736999892576,1.118032786885246,20323364.457917765,0.024658194736132177,10.0
I,0_to_90,"INJECTION, PEGFILGRASTIM 6MG",283,107,2005955.8699999999,242.0,7088.18328621908,8020.84,18747.251121495327,2.6448598130841123,23708372.073361896,0.08460959967191671,1.0
I,0_to_90,BIOPSY/REMOVAL LYMPH NODES,631,375,1928688.58022553,396.65147650412507,3056.558764224295,302.12,5143.16954726808,1.6826666666666668,23708372.073361896,0.08135052774848907,2.0
I,0_to_90,RADIATION TREATMENT DELIVERY,5591,338,1831344.9747496631,5062.463673419433,327.5523117062535,288.19,5418.180398667642,16.541420118343197,23708372.073361896,0.0772446530315472,3.0
I,0_to_90,RADIATION TREATMENT AID(S),1600,531,1399907.5335253594,1445.6076571851786,874.9422084533496,317.53,2636.360703437588,3.0131826741996233,23708372.073361896,0.059046969956164076,4.0
I,0_to_90,TRASTUZUMAB INJECTION,179,47,1315302.1370493793,138.00117699238248,7348.056631560778,6223.8,27985.151852114454,3.8085106382978724,23708372.073361896,0.05547838261435159,5.0
I,0_to_90,"INJECTION, PERTUZUMAB, 1 MG",88,26,1197263.5320257416,77.08749492484837,13605.267409383428,12291.17,46048.59738560545,3.3846153846153846,23708372.073361896,0.050499609518569834,6.0
I,0_to_90,RADIATION THERAPY PLANNING,601,517,1153092.2537264354,599.5040089493779,1918.6227183468143,191.2,2230.3525217145752,1.1624758220502902,23708372.073361896,0.048636500648731575,7.0
I,0_to_90,ONCOLOGY BREAST MRNA,280,275,1091178.443839563,281.89575979807177,3897.0658708555825,3864.0,3967.9216139620476,1.018181818181818,23708372.073361896,0.04602502611579909,8.0
I,0_to_90,EXTERNAL RADIATION DOSIMETRY,77,77,970048.4987640014,77.35429494189032,12598.032451480538,10902.5,12598.032451480538,1.0,23708372.073361896,0.04091586279152091,9.0
I,0_to_90,INSERT TUNNELED CV CATH,314,175,771011.0787302939,306.1467885756905,2455.449295319407,1606.039835844125,4405.777592744536,1.7942857142857143,23708372.073361896,0.03252062504943482,10.0
I,post_90,TRASTUZUMAB INJECTION,614,48,5035494.743118667,511.12618998823615,8201.131503450597,8318.15,104906.1404816389,12.791666666666666,36916543.44748536,0.1364021187487874,1.0
I,post_90,"INJ, ADO-TRASTUZUMAB EMT 1MG",298,19,4726976.135121434,207.15356779842895,15862.33602389743,11677.1169293024,248788.2176379702,15.68421052631579,36916543.44748536,0.12804492765812886,2.0
I,post_90,"INJECTION, PERTUZUMAB, 1 MG",220,26,2709576.835269994,202.66396608312522,12316.258342136336,11453.92,104214.49366423054,8.461538461538462,36916543.44748536,0.07339736015980018,3.0
I,post_90,LEUPROLIDE ACETATE /3.75 MG,552,48,2682065.958696078,539.3751252431515,4858.815142565359,3607.10990711616,55876.374139501626,11.5,36916543.44748536,0.07265214205418173,4.0
