final_stage_simple,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,2244.0,69306,1014,35740545.241838984,19686.28509107132,515.6919349239457,0.0,35247.086037316556,68.3491124260355,81669968.5452756,0.437621635938618,1.0
I,2236.0,30261,747,11209613.032114353,10109.36500767074,370.43101788157537,12.51,15006.175411130325,40.51004016064257,81669968.5452756,0.13725501835965628,2.0
I,2223.0,16532,184,6788073.982182149,4548.260476574593,410.6021039306889,0.0,36891.706424902986,89.84782608695652,81669968.5452756,0.08311591277789003,3.0
I,2015.0,2763,33,2556475.726222625,712.9435720136067,925.2536106487966,8.48122768824029,77468.9614006856,83.72727272727273,81669968.5452756,0.03130251880537195,4.0
I,2281.0,12635,317,2081849.6174629398,2844.8094572266855,164.7684699218789,0.0,6567.3489509871915,39.85804416403786,81669968.5452756,0.025491005501108027,5.0
I,2278.0,4949,115,1874628.2970375577,1344.8268827019087,378.7893103733194,1.57,16301.115626413544,43.03478260869565,81669968.5452756,0.022953704163585113,6.0
I,6062.0,467,452,1820632.048375119,470.830685748137,3898.5696967347303,3864.0,4027.9470096794666,1.0331858407079646,81669968.5452756,0.02229255233967441,7.0
I,2283.0,7902,189,1796831.987392541,2085.518726105745,227.38952004461416,3.78,9507.047552341486,41.80952380952381,81669968.5452756,0.022001134803871347,8.0
I,2228.0,6996,133,1533534.6771394978,2424.6607721266605,219.20164052880187,12.30367379068775,11530.335918342089,52.6015037593985,81669968.5452756,0.018777216453675357,9.0
I,2254.0,2157,82,1531867.295656827,647.3578177005343,710.1841889925021,88.27,18681.308483619843,26.304878048780488,81669968.5452756,0.018756800363007385,10.0
II,2244.0,49428,300,26919672.559828825,11518.48473656242,544.6239491751401,0.0,89732.24186609608,164.76,41668078.884375356,0.6460502447095811,1.0
II,2236.0,14145,213,4863619.974792667,4385.410572426727,343.84022444628255,9.83285792507235,22833.896595270737,66.40845070422536,41668078.884375356,0.11672292327872166,2.0
II,2223.0,3781,31,1479973.2156377938,940.2052030919045,391.4237544664887,0.0,47741.07147218689,121.96774193548387,41668078.884375356,0.03551815335054365,3.0
II,2281.0,5393,95,910769.6863533217,1279.8444814667032,168.8799715099799,2.79,9587.049330034964,56.76842105263158,41668078.884375356,0.02185773164346295,4.0
II,2283.0,3128,51,651721.8410342076,918.4489648390797,208.3509721976367,8.679183407147484,12778.859628121718,61.333333333333336,41668078.884375356,0.01564079406786833,5.0
II,2246.0,1334,3,646482.9741396076,322.4729585935288,484.6199206443835,13.2715877331269,215494.32471320254,444.6666666666667,41668078.884375356,0.015515065523743765,6.0
II,2278.0,1531,34,575664.3222197299,471.2660252095935,376.0054358064859,0.0,16931.303594697936,45.029411764705884,41668078.884375356,0.013815475482254397,7.0
II,8094.0,3860,67,571942.0711577276,846.2859091870675,148.17152102531804,4.93892421302647,8536.448823249666,57.61194029850746,41668078.884375356,0.01372614448448195,8.0
II,2015.0,731,5,399456.9920186256,206.98253224115464,546.4527934591322,37.93,79891.39840372512,146.2,41668078.884375356,0.009586642886202595,9.0
II,2228.0,2339,39,351456.00867869233,693.4632291893372,150.25908878952217,10.88,9011.692530222881,59.97435897435897,41668078.884375356,0.008434658330515949,10.0
III,2244.0,21428,109,12687781.838486725,5129.8808749163145,592.112275456726,0.0,116401.66824299748,196.58715596330276,23047559.310904518,0.5505043578511908,1.0
III,2236.0,7276,88,2680699.334923572,2124.2508810206227,368.43036488779165,8.646783342507455,30462.492442313316,82.68181818181819,23047559.310904518,0.11631163624580627,2.0
III,2015.0,1429,3,2101029.9420992695,346.7406746950047,1470.2798755068366,0.0,700343.3140330898,476.3333333333333,23047559.310904518,0.09116062632737024,3.0
III,2254.0,788,14,1370087.1979462486,232.4242300341209,1738.6893374952392,91.8,97863.3712818749,56.285714285714285,23047559.310904518,0.059446086219551136,4.0
III,2283.0,2411,31,473157.840223197,678.8983391713814,196.24962265582622,9.18,15263.15613623216,77.7741935483871,23047559.310904518,0.020529628922544146,5.0
III,2281.0,2424,29,345477.9202553496,595.5832889839063,142.5238944947812,3.57,11913.031732943089,83.58620689655173,23047559.310904518,0.01498978332564235,6.0
III,7996.0,208,1,267698.86,71.0,1287.0137499999998,122.21,267698.86,208.0,23047559.310904518,0.011615063286694453,7.0
III,2228.0,1379,21,211983.79312895075,411.34590619538454,153.7228376569621,10.39,10094.466339473845,65.66666666666667,23047559.310904518,0.00919766775602372,8.0
III,2278.0,564,12,190322.19366816554,126.32923458327639,337.4506979932013,0.0,15860.18280568046,47.0,23047559.310904518,0.008257802533482067,9.0
III,2282.0,689,6,164749.56768211036,155.1079440765506,239.11403146895552,0.0,27458.261280351726,114.83333333333333,23047559.310904518,0.007148243571464081,10.0
IV,2244.0,20128,81,20037791.04463578,5241.326365141272,995.5182355244326,0.0,247380.13635352816,248.49382716049382,33117392.51634578,0.6050534031248297,1.0
IV,2236.0,5148,51,3714917.8611367345,1598.8407746804992,721.6235161493269,10.65,72841.52668895558,100.94117647058823,33117392.51634578,0.11217422565206965,2.0
IV,2254.0,1041,17,1184034.6626700012,366.4403614855668,1137.4012129394823,69.56,69649.09780411771,61.23529411764706,33117392.51634578,0.03575265359691576,3.0
IV,2223.0,2767,16,1092760.5409991122,951.9146726997584,394.9261080589491,0.0,68297.53381244451,172.9375,33117392.51634578,0.032996575453811995,4.0
IV,2283.0,5457,26,877053.6495566287,1525.412706918126,160.72084470526454,8.56,33732.83267525495,209.8846153846154,33117392.51634578,0.026483173429905162,5.0
IV,2266.0,1202,4,661197.7236145922,376.34133462032344,550.0813008440867,6.7,165299.43090364806,300.5,33117392.51634578,0.019965271217782146,6.0
IV,7889.0,328,1,656426.26,62.0,2001.2995731707317,0.0,656426.26,328.0,33117392.51634578,0.01982119394442081,7.0
IV,2282.0,652,4,569628.9877107521,165.29951902520375,873.6640915809081,0.0,142407.24692768801,163.0,33117392.51634578,0.01720029701703115,8.0
IV,7997.0,214,1,476444.74,100.0,2226.3772897196263,622.18,476444.74,214.0,33117392.51634578,0.014386541445400351,9.0
IV,7689.0,393,1,453153.74,84.0,1153.062951653944,1.0,453153.74,393.0,33117392.51634578,0.013683255400507044,10.0
