final_stage_simple,stage_time_window,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,pre_stage,2244.0,12696,422,5172817.863252852,2798.363874476727,407.43681972691024,0.0,12257.862235196331,30.085308056872037,19322683.586577974,0.2677070107821888,1.0
I,pre_stage,2236.0,7745,380,2690595.4375963416,2079.4465909593673,347.39773242044436,0.0,7080.514309464057,20.38157894736842,19322683.586577974,0.1392454327340586,2.0
I,pre_stage,2223.0,4650,133,1829397.3575366677,749.5880335821175,393.41878656702534,0.0,13754.867349899758,34.962406015037594,19322683.586577974,0.09467615351355303,3.0
I,pre_stage,2281.0,4309,225,974323.1600449343,721.3968235808633,226.113520548836,0.0,4330.325155755263,19.15111111111111,19322683.586577974,0.050423801418645796,4.0
I,pre_stage,2254.0,1005,53,918946.8422300882,292.00204426087697,914.3749673931226,108.86,17338.619664718644,18.962264150943398,19322683.586577974,0.04755793045580956,5.0
I,pre_stage,2015.0,644,25,775130.6086284211,123.0289031418829,1203.6189574975483,0.0,31005.224345136845,25.76,19322683.586577974,0.040115059854669795,6.0
I,pre_stage,6062.0,182,176,710686.6064112029,183.88865258701796,3904.8714637978183,3864.0,4037.992081881835,1.0340909090909092,19322683.586577974,0.036779912232525705,7.0
I,pre_stage,2278.0,1897,91,634005.1184943713,390.8179111188543,334.2146117524361,0.0,6967.089214223861,20.846153846153847,19322683.586577974,0.032811442347209334,8.0
I,pre_stage,2283.0,2714,119,586170.7567930243,466.0771109954789,215.98038201658963,0.0,4925.8046789329765,22.80672268907563,19322683.586577974,0.03033588756792526,9.0
I,pre_stage,8094.0,1311,82,396188.45320674445,159.82162662793644,302.2032442461819,0.0,4831.566502521274,15.987804878048781,19322683.586577974,0.020503800697846495,10.0
I,0_to_90,2244.0,16607,655,7515065.99988803,3657.4481879748264,452.5239958985988,0.0,11473.383205935923,25.35419847328244,23058585.395883992,0.3259118402479922,1.0
I,0_to_90,2236.0,9897,478,4935382.01390095,3512.742333288408,498.6745492473426,18.36,10325.06697468818,20.705020920502093,23058585.395883992,0.2140366344755011,2.0
I,0_to_90,2223.0,4419,127,1619318.1755193698,1068.6318725505557,366.44448416369534,0.0,12750.536815113148,34.79527559055118,23058585.395883992,0.0702262583639854,3.0
I,0_to_90,6062.0,275,270,1071075.663839563,276.89575979807177,3894.8205957802293,3864.0,3966.9469031094927,1.0185185185185186,23058585.395883992,0.04645018961270505,4.0
I,0_to_90,2228.0,1714,79,758874.0707341175,731.5520959393416,442.7503329837325,91.15,9606.000895368576,21.696202531645568,23058585.395883992,0.03291069498433231,5.0
I,0_to_90,2283.0,1797,92,690336.8508888448,496.1912432807092,384.1607406170533,0.0,7503.661422704835,19.532608695652176,23058585.395883992,0.029938386897405748,6.0
I,0_to_90,2281.0,3353,188,616424.3646228452,572.0596110240035,183.84263782369376,0.0,3278.8530033130064,17.835106382978722,23058585.395883992,0.026732965359309434,7.0
I,0_to_90,2015.0,654,22,609519.1896597435,147.03162984816785,931.9865285317178,0.0,27705.41771180652,29.727272727272727,23058585.395883992,0.026433503148399727,8.0
